ascii_name,description,genus_pk,id,iso_codes,jsondata,latitude,longitude,macroarea,markup_description,name,pk,samples_100,samples_200
aari,,2,aar,aiw,{},6.0,36.5833333333,Africa,,Aari,2,False,False
alagwa,,36,agw,wbj,{},-5.5,35.75,Africa,,Alagwa,49,False,False
amharic,,4,amh,amh,{},10.0,38.0,Africa,,Amharic,91,False,False
angas,,67,anc,anc,{},9.5,9.5,Africa,,Angas,107,False,False
arabic bahrain,,4,abh,abv,{},26.0,50.5,Eurasia,,Arabic (Bahrain),7,False,False
arabic banihassan,,4,ahs,mey,{},20.0,-10.0,Africa,,Arabic (Bani-Hassan),51,False,False
arabic beirut,,4,abe,apc,{},33.9166666667,35.5,Eurasia,,Arabic (Beirut),6,False,False
arabic borno nigerian,,4,arn,shu,{},8.58333333333,12.4166666667,Africa,,Arabic (Borno Nigerian),142,False,False
arabic chadian,,4,abb,shu,{},13.8333333333,20.8333333333,Africa,,Arabic (Chadian),4,False,False
arabic eastern libyan,,4,ael,ayl,{},32.0,22.0,Africa,,Arabic (Eastern Libyan),36,False,False
arabic egyptian,,4,aeg,arz,{},30.0,31.0,Africa,,Arabic (Egyptian),35,True,True
arabic gulf,,4,arg,afb,{},26.0,49.0,Eurasia,,Arabic (Gulf),135,False,False
arabic hijazi,,4,arh,acw,{},26.0,38.0,Eurasia,,Arabic (Hijazi),136,False,False
arabic iraqi,,4,arq,acm,{},33.0,44.0,Eurasia,,Arabic (Iraqi),145,False,False
arabic kormakiti,,4,ako,acy,{},35.25,33.5,Eurasia,,Arabic (Kormakiti),68,False,False
arabic kuwaiti,,4,arj,afb,{},29.5,47.5,Eurasia,,Arabic (Kuwaiti),138,False,False
arabic lebanese,,4,arl,apc,{},34.0,36.0,Eurasia,,Arabic (Lebanese),140,False,False
arabic modern standard,,4,ams,arb,{},25.0,42.0,Eurasia,,Arabic (Modern Standard),101,False,False
arabic moroccan,,4,amr,ary,{},34.0,-6.0,Africa,,Arabic (Moroccan),100,False,False
arabic negev,,4,arv,ajp,{},30.5,34.75,Eurasia,,Arabic (Negev),148,False,False
arabic north levantine spoken,,4,anl,apc,{},33.75,36.0,Eurasia,,Arabic (North Levantine Spoken),112,False,False
arabic palestinian,,4,apa,ajp,{},32.0,35.25,Eurasia,,Arabic (Palestinian),121,False,False
arabic sanani,,4,ars,ayn,{},16.0,44.0,Eurasia,,Arabic (San'ani),147,False,False
arabic syrian,,4,asy,apc,{},34.0,38.0,Eurasia,,Arabic (Syrian),159,False,False
arabic tunisian,,4,atu,aeb,{},36.75,10.25,Africa,,Arabic (Tunisian),169,False,False
arbore,,10,abo,arv,{},5.0,36.75,Africa,,Arbore,12,False,False
awngi,,95,awn,awn,{},10.8333333333,36.6666666667,Africa,,Awngi,183,False,False
bade,,67,bad,bde,{},12.8333333333,10.5,Africa,,Bade,199,False,False
bana,,109,ban,bcw,{},10.4166666667,13.5833333333,Africa,,Bana,209,False,False
bathari,,4,bth,bhm,{},18.0,56.0,Eurasia,,Bathari,377,False,False
bayso,,10,bys,bsw,{},6.25,37.75,Africa,,Bayso,402,False,False
beja,,120,bej,bej,{},18.0,36.0,Africa,,Beja,235,False,True
berber ayt seghrouchen middle atlas,,114,bse,tzm,{},33.3333333333,-4.66666666667,Africa,,Berber (Ayt Seghrouchen Middle Atlas),368,False,False
berber chaouia,,114,bch,shy,{},35.0,7.0,Africa,,Berber (Chaouia),223,False,False
berber figuig,,114,bfg,,{},32.5,-1.5,,,Berber (Figuig),244,False,False
berber middle atlas,,114,bma,tzm,{},33.0,-5.0,Africa,,Berber (Middle Atlas),299,True,True
berber mzab,,114,bmz,mzb,{},32.5,3.5,Africa,,Berber (Mzab),303,False,False
berber rif,,114,brf,rif,{},34.5,-4.0,Africa,,Berber (Rif),351,False,False
berber siwa,,114,bsi,siz,{},29.1666666667,25.5,Africa,,Berber (Siwa),370,False,False
berber wargla,,114,bou,oua,{},31.9166666667,5.33333333333,Africa,,Berber (Wargla),332,False,False
bidiya,,130,bid,bid,{},11.9166666667,18.75,Africa,,Bidiya,262,False,False
bilin,,95,bln,byn,{},15.75,38.5,Africa,,Bilin,291,False,False
bole,,67,blq,bol,{},11.3333333333,11.25,Africa,,Bole,292,False,False
buduma,,109,bud,bdm,{},13.5,14.5,Africa,,Buduma,383,False,False
burapabir,,109,bpa,bwr,{},10.5,12.25,Africa,,Bura-Pabir,334,False,False
burji,,10,brj,bji,{},5.5,37.8333333333,Africa,,Burji,354,False,False
burunge,,36,brn,bds,{},-5.33333333333,36.0,Africa,,Burunge,358,False,False
chaha,,4,chh,sgw,{},8.112935,37.93267,Africa,,Chaha,440,False,False
chaldean modern,,4,cld,cld,{},36.0,43.0,Eurasia,,Chaldean (Modern),467,False,False
coptic,,210,cop,cop,{},26.0,32.0,Africa,,Coptic,493,False,False
daba,,109,dab,"dbq, dkx",{},10.1666666667,13.75,Africa,,Daba,546,False,False
dahalo,,226,dah,dal,{},-2.33333333333,40.5,Africa,,Dahalo,549,False,False
dangaleat western,,130,dnw,daa,{},12.1666666667,18.3333333333,Africa,,Dangaléat (Western),608,False,False
dhaasanac,,10,dha,dsh,{},4.66666666667,36.3333333333,Africa,,Dhaasanac,578,False,False
dime,,2,dim,dim,{},6.16666666667,36.25,Africa,,Dime,589,False,False
dizi,,234,diz,mdx,{},6.16666666667,36.5,Africa,,Dizi,593,False,False
dullay gollango,,10,dug,gwd,{},5.5,37.25,Africa,,Dullay (Gollango),623,False,False
gaanda,,109,gnd,gqa,{},10.3333333333,12.5833333333,Africa,,Ga'anda,762,False,False
gamo,,267,gam,gmv,{},6.66666666667,37.25,Africa,,Gamo,708,False,False
gidar,,109,gdr,gid,{},10.0,14.0,Africa,,Gidar,728,False,False
gimira,,267,gim,bcq,{},7.0,35.75,Africa,,Gimira,742,False,False
giziga,,109,giz,"gis, giz",{},10.3333333333,14.1666666667,Africa,,Giziga,745,False,False
goemai,,67,goe,ank,{},8.66666666667,9.75,Africa,,Goemai,768,False,False
gorowa,,36,gor,gow,{},-4.5,36.5,Africa,,Gorowa,775,False,False
gude,,109,gud,gde,{},10.4166666667,13.4166666667,Africa,,Gude,799,False,False
guduf,,109,gdf,gdf,{},11.2333333333,13.8,Africa,,Guduf,724,False,False
hamer,,2,hmr,amf,{},5.0,36.5,Africa,,Hamer,857,False,False
harari,,4,hrr,har,{},9.25,42.1666666667,Africa,,Harari,871,False,False
harsusi,,4,hrs,hss,{},20.0,56.5,Eurasia,,Harsusi,872,False,False
hausa,,67,hau,hau,{},12.0,7.0,Africa,,Hausa,828,True,True
hdi,,109,hdi,xed,{},11.8666666667,13.7166666667,Africa,,Hdi,834,False,False
hebrew modern,,4,heb,heb,{},31.5,34.8333333333,Eurasia,,Hebrew (Modern),835,True,True
hebrew modern ashkenazic,,4,hba,heb,{},31.75,35.1666666667,Eurasia,,Hebrew (Modern Ashkenazic),832,False,False
iraqw,,36,irq,irk,{},-4.0,35.5,Africa,,Iraqw,930,False,True
jibbali,,4,jib,shv,{},17.5,55.0,Eurasia,,Jibbali,973,False,False
kabyle,,114,kbl,kab,{},36.5,5.0,Africa,,Kabyle,1019,False,False
kanakuru,,67,knk,kna,{},10.0,12.0,Africa,,Kanakuru,1141,False,False
kefa,,2,kef,kbr,{},7.25,36.25,Africa,,Kefa,1033,False,False
kemant,,95,kem,ahg,{},12.6666666667,37.4166666667,Africa,,Kemant,1037,False,False
kera,,130,ker,ker,{},9.83333333333,15.0833333333,Africa,,Kera,1040,False,True
kilba,,109,klb,hbb,{},10.3333333333,13.1666666667,Africa,,Kilba,1103,False,False
koorete,,267,kjr,kqy,{},5.83333333333,37.8333333333,Africa,,Koorete,1088,False,False
